cliente_id,genero,edad,ubicacion,frecuencia_compra,promedio_gasto,dias_desde_ultima_compra,tiempo_promedio_sesion,paginas_vistas_promedio,nivel_satisfaccion,carritos_abandonados,total_compras,email_abierto_30d,cliente_abandona
1001,M,64,Azogues,0.5,28.44,60,448,9,5,0,30,3,Sí
1002,M,29,Ibarra,3.6,50.88,41,240,14,5,1,27,5,No
1003,F,33,Imbabura,1.6,38.03,80,394,2,1,0,7,0,Sí
1004,F,41,El Oro,0.4,44.79,78,105,12,4,3,27,5,Sí
1005,M,36,Loja,1.7,37.36,17,350,2,3,1,25,2,No
1006,M,25,Esmeraldas,16.3,27.7,22,462,9,1,3,46,4,Sí
1007,M,48,Cuenca,0.3,59.13,53,138,6,4,2,41,2,Sí
1008,F,38,Santo Domingo de los Tsáchilas,3.4,40.32,29,551,18,5,0,15,2,No
1009,F,34,Santa Elena,0.5,29.67,97,76,9,2,5,25,2,Sí
1010,F,40,Imbabura,3.1,54.17,57,408,11,3,0,22,3,No
1011,M,54,Esmeraldas,2.7,15.19,67,125,3,3,0,18,1,No
1012,M,33,El Oro,0.7,68.54,66,132,10,4,6,12,1,Sí
1013,F,23,Azogues,0.8,32.31,70,175,4,1,2,23,0,Sí
1014,M,25,Esmeraldas,3.1,15.98,17,56,19,5,2,45,2,No
1015,M,42,Guaranda,1.2,63.59,6,559,8,4,0,39,1,No
1016,M,35,Santo Domingo de los Tsáchilas,2.6,28.05,39,111,16,2,3,25,0,Sí
1017,M,42,Galápagos,0.3,38.65,69,457,19,2,0,10,3,Sí
1018,F,29,El Oro,3.8,45.77,85,508,4,2,1,30,2,Sí
1019,M,32,Puerto Baquerizo Moreno,2.5,52.76,64,191,15,4,0,10,4,No
1020,M,43,Cotopaxi,4.7,39.5,67,431,3,5,2,34,3,No
1021,F,58,Latacunga,0.3,25.29,48,537,15,3,0,46,0,Sí
1022,M,62,Portoviejo,1.8,38.28,51,67,12,1,1,13,3,Sí
1023,M,43,Tungurahua,1.8,28.71,28,540,17,3,2,29,4,No
1024,M,64,Francisco de Orellana,0.9,38.74,20,422,9,5,1,38,3,No
1025,F,49,Cotopaxi,1.2,59.42,89,523,8,3,2,41,0,No
1026,F,27,Nueva Loja,0.1,46.34,77,229,12,4,1,45,4,Sí
1027,M,33,Puerto Baquerizo Moreno,2.7,38.1,8,284,4,2,3,9,4,Sí
1028,F,24,Zamora,1.6,46.08,46,208,18,5,2,13,3,No
1029,F,34,Pastaza,0.1,47.15,75,576,15,5,1,37,4,Sí
1030,M,40,Guayas,2.3,18.83,41,418,7,3,2,14,3,No
1031,F,43,Nueva Loja,1.3,35.63,50,427,9,4,1,37,2,No
1032,M,38,Bolívar,0.1,73.44,55,187,6,3,1,9,4,Sí
1033,M,39,Los Ríos,7.0,53.19,50,33,9,3,1,8,3,No
1034,M,24,Loja,6.0,27.45,69,196,3,5,1,39,2,No
1035,M,31,Cuenca,1.4,25.95,19,497,16,3,3,40,4,No
1036,F,32,El Oro,0.2,25.45,87,438,13,2,1,3,2,Sí
1037,M,24,Machala,2.8,47.99,26,441,18,3,1,47,5,No
1038,M,26,Ambato,1.4,59.11,37,233,2,2,1,40,4,No
1039,F,25,Chimborazo,0.7,43.73,71,223,16,5,1,33,5,Sí
1040,M,40,Orellana,1.4,37.36,64,264,15,4,2,32,0,No
1041,M,46,Tungurahua,1.5,28.34,53,179,17,2,0,7,0,Sí
1042,F,35,Orellana,1.7,39.94,23,188,10,4,0,19,3,No
1043,M,48,Pastaza,1.2,22.7,46,308,2,4,2,34,1,No
1044,M,47,Machala,1.9,5.96,70,433,18,2,2,14,5,Sí
1045,M,56,Pichincha,5.0,59.55,82,340,14,5,3,47,5,Sí
1046,F,52,El Oro,0.9,19.91,85,97,6,1,2,46,0,Sí
1047,M,35,Loja,2.6,30.13,62,492,11,4,3,19,5,Sí
1048,F,59,Sucumbíos,4.5,44.85,56,117,7,4,2,26,1,No
1049,F,56,Santa Elena,1.2,56.52,54,246,14,5,2,17,2,No
1050,M,34,Cotopaxi,1.2,38.86,59,30,2,5,0,28,2,No
1051,M,31,Morona Santiago,1.8,17.09,98,164,16,3,4,19,1,Sí
1052,F,48,Puerto Baquerizo Moreno,1.8,30.48,61,380,15,5,0,27,5,No
1053,M,41,Loja,3.3,24.82,29,169,9,4,1,48,5,No
1054,F,52,Guaranda,1.3,34.43,92,162,11,2,1,19,5,Sí
1055,F,61,Machala,11.1,53.48,21,207,10,1,1,33,3,No
1056,M,62,Orellana,0.1,-3.06,74,387,18,3,1,7,4,Sí
1057,M,51,Loja,0.0,28.83,83,409,10,2,0,29,1,Sí
1058,M,20,Santo Domingo,2.0,27.74,28,479,4,1,1,43,1,No
1059,M,54,Carchi,0.7,16.15,40,492,12,1,0,5,1,Sí
1060,M,60,Zamora,0.5,43.78,41,137,13,1,1,30,1,Sí
1061,M,57,Santo Domingo,0.7,13.78,97,151,11,2,1,49,1,Sí
1062,M,43,Imbabura,0.6,15.5,64,46,18,3,1,43,5,Sí
1063,F,40,Guayaquil,0.1,47.77,30,225,18,3,2,8,3,No
1064,M,61,Santa Elena,7.1,57.51,29,356,12,1,4,42,0,Sí
1065,M,56,Bolívar,0.5,33.86,17,347,5,2,2,12,5,Sí
1066,F,32,Azuay,2.6,16.74,16,508,8,1,2,42,5,No
1067,M,21,Machala,2.9,24.42,37,281,15,5,1,13,4,No
1068,F,46,Esmeraldas,5.3,50.12,13,532,8,3,1,26,0,No
1069,M,39,Quito,0.1,36.75,86,148,9,4,0,18,1,Sí
1070,M,42,Zamora,4.1,33.48,88,527,2,1,2,42,0,Sí
1071,F,30,Galápagos,1.5,39.7,78,515,5,5,1,49,3,No
1072,M,35,Loja,2.0,34.44,55,74,13,3,1,20,2,No
1073,M,50,Machala,2.1,58.19,21,343,4,2,5,16,5,Sí
1074,F,33,Babahoyo,3.4,23.76,66,208,14,3,0,37,0,No
1075,F,62,Azuay,0.8,22.04,55,447,7,2,2,3,4,Sí
1076,F,59,Riobamba,2.6,14.25,18,585,12,2,1,27,3,No
1077,F,61,Nueva Loja,1.5,26.9,56,107,5,1,1,15,2,Sí
1078,M,19,Cañar,3.2,18.62,43,355,17,1,2,34,3,No
1079,M,52,Machala,9.3,38.27,97,386,8,3,5,45,1,Sí
1080,M,59,Chimborazo,0.4,35.31,34,445,12,5,1,22,2,No
1081,F,51,Galápagos,10.5,18.81,0,544,2,3,1,40,4,No
1082,F,47,Tena,0.2,43.84,51,243,8,4,0,23,2,Sí
1083,M,30,Guayas,0.0,57.75,84,103,13,2,2,49,4,Sí
1084,M,30,Babahoyo,0.1,40.37,92,592,8,2,2,4,1,Sí
1085,M,35,Manabí,0.8,-3.15,69,538,8,1,1,41,4,Sí
1086,M,49,Loja,2.0,64.81,36,361,11,5,3,23,3,No
1087,F,49,Morona Santiago,0.1,46.2,64,122,17,1,1,47,0,Sí
1088,F,52,Zamora,0.0,64.35,50,548,9,4,2,9,3,Sí
1089,F,56,Zamora Chinchipe,5.5,51.36,0,298,10,3,2,24,5,No
1090,F,63,Pichincha,3.5,54.36,90,405,10,3,1,21,3,No
1091,M,46,Carchi,3.3,38.08,20,33,3,5,0,41,2,No
1092,F,46,Esmeraldas,4.3,31.07,52,167,14,1,1,46,1,Sí
1093,F,61,Pastaza,2.4,40.6,15,260,14,1,3,16,5,Sí
1094,F,33,Tungurahua,0.2,24.37,60,558,5,4,2,25,5,Sí
1095,F,61,Cañar,1.0,41.51,53,81,13,3,3,26,5,Sí
1096,F,64,Napo,2.6,-4.4,39,354,18,1,0,49,0,No
1097,F,27,Manabí,0.7,35.64,25,306,3,5,1,45,4,No
