cliente_id,genero,edad,ubicacion,frecuencia_compra,promedio_gasto,dias_desde_ultima_compra,tiempo_promedio_sesion,paginas_vistas_promedio,nivel_satisfaccion,carritos_abandonados,total_compras,email_abierto_30d,cliente_abandona,dias_registro,usa_movil,uso_cupon,visitas_semana,metodo_pago
1001,M,64,Azogues,0.5,28.44,60,448,9,5,0,30,3,Sí,1226,0,1,3,PayPal
1002,M,29,Ibarra,3.6,50.88,41,240,14,5,1,27,5,No,1559,1,0,6,Tarjeta
1003,F,33,Imbabura,1.6,38.03,80,394,2,1,0,7,0,Sí,960,1,0,9,Tarjeta
1004,F,41,El Oro,0.4,44.79,78,105,12,4,3,27,5,Sí,1394,0,0,1,Efectivo
1005,M,36,Loja,1.7,37.36,17,350,2,3,1,25,2,No,1230,1,1,5,Efectivo
1006,M,25,Esmeraldas,16.3,27.7,22,462,9,1,3,46,4,Sí,1195,1,0,13,Tarjeta
1007,M,48,Cuenca,0.3,59.13,53,138,6,4,2,41,2,Sí,1824,1,1,4,PayPal
1008,F,38,Santo Domingo de los Tsáchilas,3.4,40.32,29,551,18,5,0,15,2,No,1144,0,1,9,Transferencia
1009,F,34,Santa Elena,0.5,29.67,97,76,9,2,5,25,2,Sí,1738,1,1,11,Transferencia
1010,F,40,Imbabura,3.1,54.17,57,408,11,3,0,22,3,No,221,1,0,13,Efectivo
1011,M,54,Esmeraldas,2.7,15.19,67,125,3,3,0,18,1,No,566,0,0,11,PayPal
1012,M,33,El Oro,0.7,68.54,66,132,10,4,6,12,1,Sí,1338,0,1,1,Tarjeta
1013,F,23,Azogues,0.8,32.31,70,175,4,1,2,23,0,Sí,430,0,1,13,Transferencia
1014,M,25,Esmeraldas,3.1,15.98,17,56,19,5,2,45,2,No,1582,0,1,4,Transferencia
1015,M,42,Guaranda,1.2,63.59,6,559,8,4,0,39,1,No,187,0,0,1,PayPal
1016,M,35,Santo Domingo de los Tsáchilas,2.6,28.05,39,111,16,2,3,25,0,Sí,1496,0,0,3,Tarjeta
